stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
0100053259,bstdwjp,"Redland, Kersteman Road (NW-bound)",51.47351,-2.59856,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053259,3
0100053260,bstdwpg,"Redland, Kersteman Road (SE-bound)",51.47298,-2.59767,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053260,3
0100053261,bstgdgm,"Bishopston, Cranbrook Road (NW-bound)",51.47077,-2.59502,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053261,3
0100053262,bstjpwd,"Eastville, Ikea Car Park (N-bound)",51.47296,-2.56511,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053262,3
0100053263,bstjgjt,"Horfield, Shaldon Road (NW-bound)",51.48011,-2.57603,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053263,3
0100053264,bstmjdp,"Broomhill, Alberton Road (NE-bound, Unmarked)",51.48899,-2.54071,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053264,3
0100053265,bstatpj,"Brentry, Westover Road (NE-bound)",51.5001,-2.62294,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053265,3
0100053266,bstdajt,"Brentry, Northover Road (W-bound)",51.50144,-2.61729,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053266,3
0100053267,bstdpwg,"Brentry, Knole Lane (SW-bound)",51.5099,-2.60339,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053267,3
0100053281,bstadgp,"Avonmouth, Third Way (E-bound)",51.50528,-2.69085,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053281,3
